[info]   /forceset/vasmed_l/activation. bounds: [0.01, 1]
[info]   /forceset/vasint_l/activation. bounds: [0.01, 1]
[info]   /forceset/tibpost_l/activation. bounds: [0.01, 1]
[info]   /forceset/recfem_l/activation. bounds: [0.01, 1]
[info]   /forceset/psoas_l/activation. bounds: [0.01, 1]
[info]   /forceset/grac_l/activation. bounds: [0.01, 1]
[info]   /forceset/soleus_l/activation. bounds: [0.01, 1]
[info]   /forceset/glmin3_l/activation. bounds: [0.01, 1]
[info]   /forceset/glmin1_l/activation. bounds: [0.01, 1]
[info]   /forceset/glmed2_l/activation. bounds: [0.01, 1]
[info]   /forceset/glmed1_l/activation. bounds: [0.01, 1]
[info]   /forceset/glmax2_l/activation. bounds: [0.01, 1]
[info]   /forceset/fhl_l/activation. bounds: [0.01, 1]
[info]   /forceset/fdl_l/activation. bounds: [0.01, 1]
[info]   /forceset/piri_l/activation. bounds: [0.01, 1]
[info]   /forceset/ehl_l/activation. bounds: [0.01, 1]
[info]   /forceset/edl_l/activation. bounds: [0.01, 1]
[info]   /forceset/bfsh_l/activation. bounds: [0.01, 1]
[info]   /forceset/bflh_l/activation. bounds: [0.01, 1]
[info]   /forceset/addmagProx_l/activation. bounds: [0.01, 1]
[info]   /forceset/addmagMid_l/activation. bounds: [0.01, 1]
[info]   /forceset/glmax3_l/activation. bounds: [0.01, 1]
[info]   /forceset/addmagIsch_l/activation. bounds: [0.01, 1]
[info]   /forceset/addlong_l/activation. bounds: [0.01, 1]
[info]   /forceset/vasmed_r/activation. bounds: [0.01, 1]
[info]   /forceset/glmed3_l/activation. bounds: [0.01, 1]
[info]   /forceset/vaslat_r/activation. bounds: [0.01, 1]
[info]   /forceset/vasint_r/activation. bounds: [0.01, 1]
[info]   /forceset/semimem_r/activation. bounds: [0.01, 1]
[info]   /forceset/sart_r/activation. bounds: [0.01, 1]
[info]   /forceset/psoas_r/activation. bounds: [0.01, 1]
[info]   /forceset/addmagDist_l/activation. bounds: [0.01, 1]
[info]   /forceset/piri_r/activation. bounds: [0.01, 1]
[info]   /forceset/iliacus_r/activation. bounds: [0.01, 1]
[info]   /forceset/grac_r/activation. bounds: [0.01, 1]
[info]   /forceset/glmin3_r/activation. bounds: [0.01, 1]
[info]   /forceset/perlong_l/activation. bounds: [0.01, 1]
[info]   /forceset/glmin2_r/activation. bounds: [0.01, 1]
[info]   /forceset/glmed3_r/activation. bounds: [0.01, 1]
[info]   /forceset/glmed2_r/activation. bounds: [0.01, 1]
[info]   /forceset/glmax3_r/activation. bounds: [0.01, 1]
[info]   /forceset/glmax1_r/activation. bounds: [0.01, 1]
[info]   /forceset/bfsh_r/activation. bounds: [0.01, 1]
[info]   /forceset/bflh_r/activation. bounds: [0.01, 1]
[info]   /forceset/addmagProx_r/activation. bounds: [0.01, 1]
[info]   /forceset/addmagMid_r/activation. bounds: [0.01, 1]
[info]   /forceset/addmagIsch_r/activation. bounds: [0.01, 1]
[info]   /forceset/addmagDist_r/activation. bounds: [0.01, 1]
[info]   /forceset/addlong_r/activation. bounds: [0.01, 1]
[info]   /forceset/addbrev_r/activation. bounds: [0.01, 1]
[info]   /forceset/semiten_l/activation. bounds: [0.01, 1]
[info]   /jointset/joint_segment_20/joint_segment_20_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_19/joint_segment_19_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_18/joint_segment_18_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_18/joint_segment_18_coord_0/value. bounds: [-10, 10]
[info]   /forceset/glmax1_l/activation. bounds: [0.01, 1]
[info]   /jointset/joint_segment_17/joint_segment_17_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_16/joint_segment_16_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_16/joint_segment_16_coord_0/value. bounds: [-10, 10]
[info]   /forceset/perbrev_l/activation. bounds: [0.01, 1]
[info]   /jointset/joint_segment_15/joint_segment_15_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_14/joint_segment_14_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_14/joint_segment_14_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_13/joint_segment_13_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_13/joint_segment_13_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_11/joint_segment_11_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_9/joint_segment_9_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_8/joint_segment_8_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_7/joint_segment_7_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_7/joint_segment_7_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_6/joint_segment_6_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_6/joint_segment_6_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_5/joint_segment_5_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_4/joint_segment_4_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_4/joint_segment_4_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_3/joint_segment_3_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_3/joint_segment_3_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_2/joint_segment_2_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_2/joint_segment_2_coord_0/value. bounds: [-10, 10]
[info]   /jointset/joint_segment_1/joint_segment_1_coord_0/value. bounds: [-10, 10]
[info]   /forceset/addbrev_l/activation. bounds: [0.01, 1]
[info]   /jointset/radioulnar_l/pro_sup_l/value. bounds: [0, 3.14159]
[info]   /jointset/elbow_l/elbow_flex_l/speed. bounds: [-50, 50]
[info]   /jointset/elbow_l/elbow_flex_l/value. bounds: [0, 2.618]
[info]   /jointset/acromial_l/arm_rot_l/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_10/joint_segment_10_coord_0/value. bounds: [-10, 10]
[info]   /jointset/acromial_l/arm_rot_l/value. bounds: [-1.5708, 1.5708]
[info]   /forceset/glmin2_l/activation. bounds: [0.01, 1]
[info]   /jointset/acromial_l/arm_add_l/value. bounds: [-2.0944, 1.5708]
[info]   /jointset/acromial_l/arm_flex_l/speed. bounds: [-50, 50]
[info]   /jointset/acromial_l/arm_flex_l/value. bounds: [-1.5708, 1.5708]
[info]   /jointset/radioulnar_r/pro_sup_r/speed. bounds: [-50, 50]
[info]   /jointset/radioulnar_r/pro_sup_r/value. bounds: [0, 3.14159]
[info]   /jointset/elbow_r/elbow_flex_r/speed. bounds: [-50, 50]
[info]   /jointset/elbow_r/elbow_flex_r/value. bounds: [0, 2.618]
[info]   /jointset/joint_segment_12/joint_segment_12_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/acromial_r/arm_rot_r/speed. bounds: [-50, 50]
[info]   /forceset/glmed1_r/activation. bounds: [0.01, 1]
[info]   /jointset/acromial_r/arm_rot_r/value. bounds: [-1.5708, 1.5708]
[info]   /jointset/acromial_r/arm_flex_r/speed. bounds: [-50, 50]
[info]   /forceset/tibant_l/activation. bounds: [0.01, 1]
[info]   /jointset/back/lumbar_rotation/speed. bounds: [-50, 50]
[info]   /jointset/back/lumbar_rotation/value. bounds: [-1.5708, 1.5708]
[info]   /jointset/back/lumbar_bending/speed. bounds: [-50, 50]
[info]   /forceset/semiten_r/activation. bounds: [0.01, 1]
