name,lower_bound,upper_bound
/forceset/vasmed_l/activation,0.01,1.0
/forceset/vasint_l/activation,0.01,1.0
/forceset/tibpost_l/activation,0.01,1.0
/forceset/recfem_l/activation,0.01,1.0
/forceset/psoas_l/activation,0.01,1.0
/forceset/grac_l/activation,0.01,1.0
/forceset/soleus_l/activation,0.01,1.0
/forceset/glmin3_l/activation,0.01,1.0
/forceset/glmin1_l/activation,0.01,1.0
/forceset/glmed2_l/activation,0.01,1.0
/forceset/glmed1_l/activation,0.01,1.0
/forceset/glmax2_l/activation,0.01,1.0
/forceset/fhl_l/activation,0.01,1.0
/forceset/fdl_l/activation,0.01,1.0
/forceset/piri_l/activation,0.01,1.0
/forceset/ehl_l/activation,0.01,1.0
/forceset/edl_l/activation,0.01,1.0
/forceset/bfsh_l/activation,0.01,1.0
/forceset/bflh_l/activation,0.01,1.0
/forceset/addmagProx_l/activation,0.01,1.0
/forceset/addmagMid_l/activation,0.01,1.0
/forceset/glmax3_l/activation,0.01,1.0
/forceset/addmagIsch_l/activation,0.01,1.0
/forceset/addlong_l/activation,0.01,1.0
/forceset/vasmed_r/activation,0.01,1.0
/forceset/glmed3_l/activation,0.01,1.0
/forceset/vaslat_r/activation,0.01,1.0
/forceset/vasint_r/activation,0.01,1.0
/forceset/semimem_r/activation,0.01,1.0
/forceset/sart_r/activation,0.01,1.0
/forceset/psoas_r/activation,0.01,1.0
/forceset/addmagDist_l/activation,0.01,1.0
/forceset/piri_r/activation,0.01,1.0
/forceset/iliacus_r/activation,0.01,1.0
/forceset/grac_r/activation,0.01,1.0
/forceset/glmin3_r/activation,0.01,1.0
/forceset/perlong_l/activation,0.01,1.0
/forceset/glmin2_r/activation,0.01,1.0
/forceset/glmed3_r/activation,0.01,1.0
/forceset/glmed2_r/activation,0.01,1.0
/forceset/glmax3_r/activation,0.01,1.0
/forceset/glmax1_r/activation,0.01,1.0
/forceset/bfsh_r/activation,0.01,1.0
/forceset/bflh_r/activation,0.01,1.0
/forceset/addmagProx_r/activation,0.01,1.0
/forceset/addmagMid_r/activation,0.01,1.0
/forceset/addmagIsch_r/activation,0.01,1.0
/forceset/addmagDist_r/activation,0.01,1.0
/forceset/addlong_r/activation,0.01,1.0
/forceset/addbrev_r/activation,0.01,1.0
/forceset/semiten_l/activation,0.01,1.0
/jointset/joint_segment_20/joint_segment_20_coord_0/value,-10.0,10.0
/jointset/joint_segment_19/joint_segment_19_coord_0/speed,-50.0,50.0
/jointset/joint_segment_18/joint_segment_18_coord_0/speed,-50.0,50.0
/jointset/joint_segment_18/joint_segment_18_coord_0/value,-10.0,10.0
/forceset/glmax1_l/activation,0.01,1.0
/jointset/joint_segment_17/joint_segment_17_coord_0/speed,-50.0,50.0
/jointset/joint_segment_16/joint_segment_16_coord_0/speed,-50.0,50.0
/jointset/joint_segment_16/joint_segment_16_coord_0/value,-10.0,10.0
/forceset/perbrev_l/activation,0.01,1.0
/jointset/joint_segment_15/joint_segment_15_coord_0/value,-10.0,10.0
/jointset/joint_segment_14/joint_segment_14_coord_0/speed,-50.0,50.0
/jointset/joint_segment_14/joint_segment_14_coord_0/value,-10.0,10.0
/jointset/joint_segment_13/joint_segment_13_coord_0/speed,-50.0,50.0
/jointset/joint_segment_13/joint_segment_13_coord_0/value,-10.0,10.0
/jointset/joint_segment_11/joint_segment_11_coord_0/speed,-50.0,50.0
/jointset/joint_segment_9/joint_segment_9_coord_0/value,-10.0,10.0
/jointset/joint_segment_8/joint_segment_8_coord_0/speed,-50.0,50.0
/jointset/joint_segment_7/joint_segment_7_coord_0/speed,-50.0,50.0
/jointset/joint_segment_7/joint_segment_7_coord_0/value,-10.0,10.0
/jointset/joint_segment_6/joint_segment_6_coord_0/speed,-50.0,50.0
/jointset/joint_segment_6/joint_segment_6_coord_0/value,-10.0,10.0
/jointset/joint_segment_5/joint_segment_5_coord_0/speed,-50.0,50.0
/jointset/joint_segment_4/joint_segment_4_coord_0/speed,-50.0,50.0
/jointset/joint_segment_4/joint_segment_4_coord_0/value,-10.0,10.0
/jointset/joint_segment_3/joint_segment_3_coord_0/speed,-50.0,50.0
/jointset/joint_segment_3/joint_segment_3_coord_0/value,-10.0,10.0
/jointset/joint_segment_2/joint_segment_2_coord_0/speed,-50.0,50.0
/jointset/joint_segment_2/joint_segment_2_coord_0/value,-10.0,10.0
/jointset/joint_segment_1/joint_segment_1_coord_0/value,-10.0,10.0
/forceset/addbrev_l/activation,0.01,1.0
/jointset/radioulnar_l/pro_sup_l/value,0.0,3.14159
/jointset/elbow_l/elbow_flex_l/speed,-50.0,50.0
/jointset/elbow_l/elbow_flex_l/value,0.0,2.618
/jointset/acromial_l/arm_rot_l/speed,-50.0,50.0
/jointset/joint_segment_10/joint_segment_10_coord_0/value,-10.0,10.0
/jointset/acromial_l/arm_rot_l/value,-1.5708,1.5708
/forceset/glmin2_l/activation,0.01,1.0
/jointset/acromial_l/arm_add_l/value,-2.0944,1.5708
/jointset/acromial_l/arm_flex_l/speed,-50.0,50.0
/jointset/acromial_l/arm_flex_l/value,-1.5708,1.5708
/jointset/radioulnar_r/pro_sup_r/speed,-50.0,50.0
/jointset/radioulnar_r/pro_sup_r/value,0.0,3.14159
/jointset/elbow_r/elbow_flex_r/speed,-50.0,50.0
/jointset/elbow_r/elbow_flex_r/value,0.0,2.618
/jointset/joint_segment_12/joint_segment_12_coord_0/speed,-50.0,50.0
/jointset/acromial_r/arm_rot_r/speed,-50.0,50.0
/forceset/glmed1_r/activation,0.01,1.0
/jointset/acromial_r/arm_rot_r/value,-1.5708,1.5708
/jointset/acromial_r/arm_flex_r/speed,-50.0,50.0
/forceset/tibant_l/activation,0.01,1.0
/jointset/back/lumbar_rotation/speed,-50.0,50.0
/jointset/back/lumbar_rotation/value,-1.5708,1.5708
/jointset/back/lumbar_bending/speed,-50.0,50.0
/forceset/semiten_r/activation,0.01,1.0
/jointset/joint_segment_10/joint_segment_10_coord_0/speed,-50.0,50.0
/jointset/back/lumbar_bending/value,-1.5708,1.5708
/jointset/joint_segment_15/joint_segment_15_coord_0/speed,-50.0,50.0
/jointset/ankle_l/ankle_angle_l/speed,-50.0,50.0
/jointset/ankle_l/ankle_angle_l/value,-0.698132,0.523599
/jointset/patellofemoral_l/knee_angle_l_beta/speed,-50.0,50.0
/jointset/patellofemoral_l/knee_angle_l_beta/value,-10,10
/jointset/walker_knee_l/knee_angle_l/speed,-50.0,50.0
/jointset/acromial_r/arm_add_r/speed,-50.0,50.0
/jointset/walker_knee_l/knee_angle_l/value,0.0,2.0944
/jointset/hip_l/hip_rotation_l/value,-0.698132,0.698132
/jointset/hip_l/hip_adduction_l/speed,-50.0,50.0
/jointset/acromial_l/arm_add_l/speed,-50.0,50.0
/jointset/hip_l/hip_adduction_l/value,-0.872665,0.523599
/jointset/hip_l/hip_flexion_l/speed,-50.0,50.0
/jointset/hip_l/hip_flexion_l/value,-0.523599,2.0944
/jointset/patellofemoral_r/knee_angle_r_beta/value,-10,10
/jointset/walker_knee_r/knee_angle_r/speed,-50.0,50.0
/forceset/recfem_r/activation,0.01,1.0
/jointset/walker_knee_r/knee_angle_r/value,0.0,2.0944
/jointset/hip_r/hip_rotation_r/speed,-50.0,50.0
/jointset/acromial_r/arm_flex_r/value,-1.5708,1.5708
/jointset/hip_r/hip_rotation_r/value,-0.698132,0.698132
/jointset/hip_r/hip_adduction_r/speed,-50.0,50.0
/jointset/hip_r/hip_flexion_r/speed,-50.0,50.0
/jointset/joint_segment_12/joint_segment_12_coord_0/value,-10.0,10.0
/jointset/hip_r/hip_flexion_r/value,-0.523599,2.0944
/jointset/joint_segment_5/joint_segment_5_coord_0/value,-10.0,10.0
/jointset/ground_pelvis/pelvis_tz/speed,-50.0,50.0
/jointset/ground_pelvis/pelvis_ty/speed,-50.0,50.0
/jointset/hip_r/hip_adduction_r/value,-0.872665,0.523599
/jointset/ground_pelvis/pelvis_ty/value,-1.0,2.0
/jointset/joint_segment_1/joint_segment_1_coord_0/speed,-50.0,50.0
/jointset/ground_pelvis/pelvis_tz/value,-3.0,3.0
/jointset/ground_pelvis/pelvis_tx/speed,-50.0,50.0
/jointset/ground_pelvis/pelvis_tx/value,-5.0,5.0
/jointset/acromial_r/arm_add_r/value,-2.0944,1.5708
/jointset/ground_pelvis/pelvis_rotation/speed,-50.0,50.0
/jointset/hip_l/hip_rotation_l/speed,-50.0,50.0
/jointset/ground_pelvis/pelvis_rotation/value,-1.5708,1.5708
/forceset/glmax2_r/activation,0.01,1.0
/jointset/ground_pelvis/pelvis_list/speed,-50.0,50.0
/jointset/ground_pelvis/pelvis_list/value,-1.5708,1.5708
/jointset/joint_segment_11/joint_segment_11_coord_0/value,-10.0,10.0
/jointset/ground_pelvis/pelvis_tilt/value,-1.5708,1.5708
/forceset/vasmed_l/normalized_tendon_force,0.0,5.0
/forceset/vaslat_l/normalized_tendon_force,0.0,5.0
/forceset/vasint_l/normalized_tendon_force,0.0,5.0
/forceset/iliacus_l/activation,0.01,1.0
/forceset/tibpost_l/normalized_tendon_force,0.0,5.0
/forceset/tibant_l/normalized_tendon_force,0.0,5.0
/forceset/tfl_l/normalized_tendon_force,0.0,5.0
/forceset/soleus_l/normalized_tendon_force,0.0,5.0
/jointset/back/lumbar_extension/speed,-50.0,50.0
/forceset/semiten_l/normalized_tendon_force,0.0,5.0
/forceset/semimem_l/normalized_tendon_force,0.0,5.0
/forceset/perlong_l/normalized_tendon_force,0.0,5.0
/forceset/perbrev_l/normalized_tendon_force,0.0,5.0
/forceset/glmin3_l/normalized_tendon_force,0.0,5.0
/forceset/gasmed_l/normalized_tendon_force,0.0,5.0
/forceset/fhl_l/normalized_tendon_force,0.0,5.0
/forceset/fdl_l/normalized_tendon_force,0.0,5.0
/forceset/ehl_l/normalized_tendon_force,0.0,5.0
/forceset/recfem_l/normalized_tendon_force,0.0,5.0
/forceset/edl_l/normalized_tendon_force,0.0,5.0
/jointset/radioulnar_l/pro_sup_l/speed,-50.0,50.0
/forceset/bflh_l/normalized_tendon_force,0.0,5.0
/jointset/back/lumbar_extension/value,-1.5708,1.5708
/forceset/addmagIsch_l/normalized_tendon_force,0.0,5.0
/forceset/addlong_l/normalized_tendon_force,0.0,5.0
/forceset/vasmed_r/normalized_tendon_force,0.0,5.0
/forceset/vaslat_r/normalized_tendon_force,0.0,5.0
/forceset/semimem_l/activation,0.01,1.0
/forceset/vasint_r/normalized_tendon_force,0.0,5.0
/forceset/sart_l/activation,0.01,1.0
/forceset/tfl_r/normalized_tendon_force,0.0,5.0
/forceset/semiten_r/normalized_tendon_force,0.0,5.0
/jointset/joint_segment_8/joint_segment_8_coord_0/value,-10.0,10.0
/forceset/semimem_r/normalized_tendon_force,0.0,5.0
/forceset/recfem_r/normalized_tendon_force,0.0,5.0
/forceset/piri_r/normalized_tendon_force,0.0,5.0
/forceset/glmin3_r/normalized_tendon_force,0.0,5.0
/forceset/bflh_r/normalized_tendon_force,0.0,5.0
/forceset/addmagIsch_r/normalized_tendon_force,0.0,5.0
/forceset/addlong_r/normalized_tendon_force,0.0,5.0
/forceset/tfl_r/activation,0.01,1.0
/forceset/viscoelastic_segment_20/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_19/dissipated_energy,0.0,inf
/forceset/glmin1_r/activation,0.01,1.0
/forceset/viscoelastic_segment_18/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_17/dissipated_energy,0.0,inf
/forceset/tfl_l/activation,0.01,1.0
/forceset/viscoelastic_segment_16/dissipated_energy,0.0,inf
/jointset/joint_segment_17/joint_segment_17_coord_0/value,-10.0,10.0
/forceset/viscoelastic_segment_15/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_14/dissipated_energy,0.0,inf
/forceset/gasmed_l/activation,0.01,1.0
/jointset/joint_segment_20/joint_segment_20_coord_0/speed,-50.0,50.0
/forceset/viscoelastic_segment_13/dissipated_energy,0.0,inf
/forceset/vaslat_l/activation,0.01,1.0
/jointset/joint_segment_19/joint_segment_19_coord_0/value,-10.0,10.0
/forceset/viscoelastic_segment_12/dissipated_energy,0.0,inf
