,Segment,Initial Stiffness,Optimal Stiffness,Change (%)
0,1,13.71,14.308268474313811,4.36373795998403
1,2,21.32,9.3200995700559,-56.28471120986913
2,3,23.3,3.9982684778900874,-82.84004945111552
3,4,23.3,9.40490157184322,-59.63561557148832
4,5,23.3,21.362162964317395,-8.316897148852382
5,6,23.3,19.534359859201505,-16.16154566866307
6,7,23.3,7.29052753207594,-68.71018226576851
7,8,23.3,11.300099574228225,-51.501718565544095
8,9,19.19,5.496517740461423,-71.35738540666273
9,10,23.3,13.616089792821006,-41.561846382742466
10,11,15.99,3.990099571844039,-75.04628160197598
11,12,10.66,7.248696439239575,-32.000971489309805
12,13,15.99,17.985329525444104,12.478608664440927
13,14,9.14,19.356089787456586,111.7734112413193
14,15,6.4,6.079339305137692,-5.010323357223568
15,16,21.32,18.937920876046118,-11.172979005412207
16,17,23.3,7.29052753207594,-68.71018226576851
17,18,23.3,7.088911362191139,-69.57548771591787
18,19,23.3,5.39532952782829,-76.8440792797069
19,20,21.32,21.959901602837636,3.001414647456078
